,dataset,acc,auc,ap,prec,rec,f1,mitigation,mitigated_attribute,CFS_true,attribute,dpdiff,dpr,eoddsdiff,eoddsr,y_pred_CFS,sampling
102,ACS_M,0.2453628781277231,0.4995012009036464,0.7675064462399758,0.7505827505827506,0.0260961179998379,0.050438596491228,none,none,0.9626854037664084,attribute_1,0.0042643976461389,0.8518844597228773,0.0052134222640961,0.8179622723254812,0.8971320043024622,RandomOverSampler
103,ACS_M,0.2453628781277231,0.4995012009036464,0.7675064462399758,0.7505827505827506,0.0260961179998379,0.050438596491228,none,none,0.9031621148958312,attribute_2,0.0137872022852143,0.5391397849462366,0.0365296803652968,0.0,0.9035048275997092,RandomOverSampler
104,ACS_M,0.2477281214988173,0.4994736281654911,0.767761019260311,0.7597535934291582,0.0299862225463976,0.057695306408857,balance_output,none,0.9626854037664084,attribute_1,0.0033696993837093,0.894574710502804,0.0046991488976889,0.8544185243461067,0.9219423454628932,RandomOverSampler
105,ACS_M,0.2477281214988173,0.4994736281654911,0.767761019260311,0.7597535934291582,0.0299862225463976,0.057695306408857,balance_output,none,0.9031621148958312,attribute_2,0.021505376344086,0.4285714285714285,0.0555555555555555,0.0,0.9084922037827472,RandomOverSampler
106,ACS_M,0.2453628781277231,0.4995300131103151,0.767498882014208,0.7505827505827506,0.0260961179998379,0.050438596491228,balance_attribute,attribute_1,0.9626854037664084,attribute_1,0.0042643976461389,0.8518844597228773,0.0052134222640961,0.8179622723254812,0.8971320043024622,RandomOverSampler
107,ACS_M,0.2453628781277231,0.4995300131103151,0.767498882014208,0.7505827505827506,0.0260961179998379,0.050438596491228,balance_attribute,attribute_1,0.9031621148958312,attribute_2,0.0137872022852143,0.5391397849462366,0.0365296803652968,0.0,0.9035048275997092,RandomOverSampler
108,ACS_M,0.2591186356280343,0.5004732269038688,0.7678418831035496,0.7645631067961165,0.0510576221735959,0.0957228595305021,balance_attribute,attribute_2,0.9626854037664084,attribute_1,0.004879089924896,0.9091047724673345,0.0075629178487532,0.8618565294678605,0.9283535366090307,RandomOverSampler
109,ACS_M,0.2591186356280343,0.5004732269038688,0.7678418831035496,0.7645631067961165,0.0510576221735959,0.0957228595305021,balance_attribute,attribute_2,0.9031621148958312,attribute_2,0.0370721765408672,0.5403050108932462,0.0555555555555555,0.0,0.9120573116396689,RandomOverSampler
110,ACS_M,0.2599900410805427,0.500614591549569,0.7680958509095074,0.7691387559808612,0.0521111921549558,0.0976091081593927,balance_attribute,all,0.9626854037664084,attribute_1,0.0045995025316426,0.9152761297710686,0.0070249326499839,0.8735111841940219,0.932009023536808,RandomOverSampler
111,ACS_M,0.2599900410805427,0.500614591549569,0.7680958509095074,0.7691387559808612,0.0521111921549558,0.0976091081593927,balance_attribute,all,0.9031621148958312,attribute_2,0.0370721765408672,0.5403050108932462,0.0833333333333333,0.0,0.9121380476392232,RandomOverSampler
112,ACS_M,0.2465454998132702,0.4992567429207267,0.7676210593400986,0.7543478260869565,0.0281222141178377,0.0542229861707945,balance_output_for_attribute,attribute_1,0.9626854037664084,attribute_1,0.0045591938246192,0.852285724188126,0.0056010660335099,0.8184680136831657,0.8970975263575189,RandomOverSampler
